Product Name,Rating,Cost,Retailer,Description,Link,Image
Tide OXI Boost Power PODS®,4.8,$9.94,Amazon,"Removes tough, set-in stains without pre-treating.",https://tide.com/en-us/shop/type/laundry-pods/tide-oxi-boost-power-pods,https://images.ctfassets.net/ajjw8wywicb3/5VPRpUb5cBiromUkPVz18i/92675d2bda597d92d1f770ac1224ed38/Tide_Oxi_Boost_Power_Pods_EN-US_hero_DT_1364x1364.png?fm=webp
Tide Original Scent Liquid Laundry Detergent,4.4,$12.99,Target,Designed even for cold.,https://tide.com/en-us/shop/type/liquid/tide-original-liquid,https://images.ctfassets.net/ajjw8wywicb3/1fP9LwfUe4bKyzRyAEIoSz/80a840f061ef1a7026cd5fbf8f54c4c6/50310_Tide_Belize_Original_listing_image_520x520_most_trusted.png?fm=webp
Tide Hygienic Clean Heavy Duty 10X Power PODS® Original Scent,4,$12.99,Kroger,Removes visible and invisible dirt.,https://tide.com/en-us/shop/type/laundry-pods/tide-hygienic-clean-heavy-duty-10x-power-pods-original,https://images.ctfassets.net/ajjw8wywicb3/1tAne5zCzN2RACFKi8bMxi/84d114779ef33ec5fd19d750a9259420/52339_TideBelize_BigPapa_HCHD_EN-US_listing_520x520.png?fm=webp
Tide Power PODS® Plus UItra Oxi White and Bright,4.8,$12.27,Amazon,Brightens whites without bleach.,https://tide.com/en-us/shop/type/laundry-pods/tide-plus-ultra-oxi-power-pods,https://images.ctfassets.net/ajjw8wywicb3/asbeTrm1KtEFSeNgudcsG/c33c24986ce238f0c20603a42b6b6ff5/51015_Tide_SUD_Sonic_EN-US_listing_520x520.png?fm=webp
Tide Ultra OXI Power PODS® with Odor Eliminators,4.7,$11.99,Kroger,Fights stains and eliminates odors all in one.,https://tide.com/en-us/shop/type/laundry-pods/tide-power-pods-oxi-with-odor-eliminators,https://images.ctfassets.net/ajjw8wywicb3/2K5PXFOZKt7lTyXFHi8uyL/9899b323d2828ef7af1c92cee349a0ac/52339_TideBelize_BigPapa_UltraOXI_EN-US_listing_520x520.png?fm=webp
"Tide Power PODS® with Downy Soft Boosters, Lasting Freshness with April Fresh Scent",4.8,$5.44,Walmart,Powerful clean and Downy® softness.,https://tide.com/en-us/shop/type/laundry-pods/tide-plus-downy-power-pods-april-fresh-scent,https://images.ctfassets.net/ajjw8wywicb3/5TKCEazsWjaJ2hDtDpxlNA/49c8562bb68873f2a0735e49865a937e/Tide_Fluffy_EN-US_listing_520x520.png?fm=webp
Tide to Go Instant Stain Remover,3.8,$3.19,Target,Stop stains on the spot.,https://tide.com/en-us/shop/type/stain-remover/tide-to-go,https://images.ctfassets.net/ajjw8wywicb3/1b9tY07y3HcaUtNWLpV083/7e07d2705022b3d9736196ad2588da1a/Tide_To_go_pen_hero_DT_1364x1364.jpg?fm=webp
Tide To Go Wipes,4.5,$7.24,Walmart,#1 instant stain remover based on sales.,https://tide.com/en-us/shop/type/stain-remover/tide-to-go-wipes,https://images.ctfassets.net/ajjw8wywicb3/kvyBnVg42rKaxS6bGe0Y9/b0fff27f1389c1d2ef47234e2a95d450/Tide_To_go_wipes_hero_DT_1364x1364.jpg?fm=webp
Tide Plus Ultra Oxi White and Bright Liquid Laundry Detergent,2.6,$5.79,Meijer,Brightens whites without bleach.,https://tide.com/en-us/shop/type/liquid/tide-plus-ultra-oxi-liquid,https://images.ctfassets.net/ajjw8wywicb3/2PUehKjM8jN03PYkm63MxK/71a5f7ac6550245ebb9a0a1cbf4ff564/51015_Tide_HDL_Sonic_EN-US_hero_DT_1364x1364.jpg?fm=webp
"Tide evo Laundry Detergent Tiles, Spring Blast Scent",4.6,$9.99,Target,Introducing Tide evo laundry detergent,https://tide.com/en-us/shop/type/laundry-tiles/tide-evo-laundry-detergent-tiles-spring-blast,https://images.ctfassets.net/ajjw8wywicb3/G3icG433nJqBPQCCiSrXj/e6f2feaf61a124046e8697981c34aa45/80736849_Tide_Evo_SB_16_Ct_hero_DT_1364x1364.jpg?fm=webp
Tide Simply Oxi Boost + Febreze Odor Defense Liquid Laundry Detergent,1,$3.79,Walgreens,A powerful OXI clean that's easy on your wallet.,https://tide.com/en-us/shop/type/liquid/tide-simply-sunny-breeze,https://images.ctfassets.net/ajjw8wywicb3/Mo6ZQv12q0YBSk1BFwKht/8d522d9fbd90c0aa8aace7748b98af74/Tide_Simply_HDL_22_OXI_Odor_Febreze_hero_DT_1364x1364.jpg?fm=webp
Tide Plus Ultra Oxi Laundry Booster,5,$9.99,Amazon,All-in-one laundry booster that works with detergent.,https://tide.com/en-us/shop/type/laundry-booster/tide-plus-ultra-oxi-whitening-boost,https://images.ctfassets.net/ajjw8wywicb3/3BpYpA9acjPktWRmvmsaq8/70c3e55b7673f2e3ee947d47d20d65a2/Tide_Junior_hero_DT_1364x1364.jpg?fm=webp
"Tide evo Laundry Detergent Tiles, Original Scent",4.5,$9.99,Walgreens,Introducing Tide evo laundry detergent,https://tide.com/en-us/shop/type/laundry-tiles/tide-evo-laundry-detergent-tiles-original,https://images.ctfassets.net/ajjw8wywicb3/7xc43lwzyJjp6xQ3CCry5N/9d539706e54e7d581f856650dc62b9e4/80736833_Tide_Evo_Org_16_Ct_hero_DT_1364x1364.jpg?fm=webp
Tide Auto Dispense Liquid Laundry Detergent,5,$16.99,Amazon,Specifically formulated for your auto-dispense machine.,https://tide.com/en-us/shop/type/liquid/tide-auto-dispense-liquid,https://images.ctfassets.net/ajjw8wywicb3/5gFHCXTgqMRgN03F5BAkgA/d48fa45580ee6e5397f13ad903d7d2bd/52435_Tide_MinuteMaid_hero_DT_1364x1364.jpg?fm=webp
Tide PODS® Laundry Detergent Original Scent,3.9,$5.44,Walmart,"Works on 100% of common stains, even in cold.",https://tide.com/en-us/shop/type/laundry-pods/tide-pods-laundry-detergent,https://images.ctfassets.net/ajjw8wywicb3/6TH1vQNZiw5ANZKH0tfyOv/7b86e1e151697ed3bb6f94dea5b4d5d8/Tide_Belize_SUD_Original_hero_DT_1364x1364.jpg?fm=webp
Tide PODS® Laundry Detergent Clean Breeze Scent,4.8,$24.01,Walmart,"Works on 100% of common stains, even in cold.",https://tide.com/en-us/shop/type/laundry-pods/tide-pods-laundry-detergent-clean-breeze-scent,https://images.ctfassets.net/ajjw8wywicb3/xjZWhN0KDwrvlREzBSCyx/f29304072eef33c15936164f6ef9ac6e/Tide_Belize_SUD_CleanBreeze_hero_DT_1364x1364.jpg?fm=webp
Tide PODS® Laundry Detergent Spring Meadow Scent,4.2,$19.99,Target,Keeps your clothes smelling great.,https://tide.com/en-us/shop/type/laundry-pods/tide-pods-spring-meadow-scent,https://images.ctfassets.net/ajjw8wywicb3/3wNprhodzrUA3LorOyJzkg/1bff20b296f63e968cb4d399dd377fb2/Tide_Belize_SUD_Spring_Meadow_hero_DT_1364x1364.jpg?fm=webp
Tide Ultra Stain Release Liquid Laundry Detergent,3.5,$12.99,Target,Offers the brilliant clean you know and love.,https://tide.com/en-us/shop/type/liquid/tide-ultra-stain-release-liquid,https://images.ctfassets.net/ajjw8wywicb3/3elqxubc6TTqpLgOZaXwIz/fc289391319a3323e115e07f367b2128/Tide_Ultra_OXI_stain_release_hero_DT_1364x1364.jpg?fm=webp
Tide Simply PODS® Plus Oxi Boost + Odor Defense Liquid Laundry Detergent Pacs Fresh Linen  ,4.9,$4.29,CVS,Tough on stains & odors. Easy on your wallet.,https://tide.com/en-us/shop/type/laundry-pods/tide-simply-pods-odor-defense,https://images.ctfassets.net/ajjw8wywicb3/12bvjxtyVgcVZ4Mg8h10FB/61385ff4d6c737daa71039c1ceda9138/Tide_Simply_OXI_Odor_hero_DT_1364x1364.jpg?fm=webp
Tide Simply PODS® Plus Oxi Boost + Ultra Stain Release Refreshing Breeze,4.4,$3.44,Walmart,Tough on stains & odors. Easy on your wallet.,https://tide.com/en-us/shop/type/laundry-pods/tide-simply-pods-oxi-boost-refreshing-breeze,https://images.ctfassets.net/ajjw8wywicb3/5PhqeZLcFUEtaSXn4BHdYV/3974fbc0463045c819c86187cd205753/Tide_Simply_OXI_Stain_hero_DT_1364x1364.jpg?fm=webp
Tide Power PODS® Febreze Odor Eliminators + Lasting Freshness Spring & Renewal,4.8,$14.99,Walgreens,Stains and odor out. Freshness in.,https://tide.com/en-us/shop/type/laundry-pods/tide-power-pods-spring-renewal-detergent,https://images.ctfassets.net/ajjw8wywicb3/3DkIbb1M2NqRCnWy81IoBD/ec4f8775de8c100b4fa67f0e3b354f65/52339_TideBelize_Grogu_Spring_EN-US_hero_DT_1364x1364.jpg?fm=webp
Tide Hygienic Clean Heavy Duty 10X Power PODS® Spring Meadow Scent,4.4,$13.49,CVS,"A deep, hygienic clean infused with Tide's beloved scent.",https://tide.com/en-us/shop/type/laundry-pods/tide-hygienic-clean-heavy-duty-10x-power-pods-spring-meadow,https://images.ctfassets.net/ajjw8wywicb3/6qlMOreVwCZyr0WDdnEn4B/72c09ceae56dcbb3d6c5f5deb0e1c031/52339_TideBelize_BigPapa_HCHD_SM_EN-US_hero_DT_1364x1364.jpg?fm=webp
Tide Power PODS® Febreze Odor Eliminators + Lasting Freshness Botanical Rain,4.9,$19.94,Walmart,Stains and odors out. Freshness in.,https://tide.com/en-us/shop/type/laundry-pods/tide-power-pods-botanical-rain-detergent,https://images.ctfassets.net/ajjw8wywicb3/1BiU6Qm9RHZee5LRhEt7jr/e737bf14fdc3f32c4cf9155c307c420b/52339_TideBelize_Grogu_BR_EN-US_hero_DT_1364x1364.jpg?fm=webp
Tide Ultra OXI Liquid Laundry Detergent with Odor Eliminators,4.6,$12.99,Target,"Leaves laundry clothes looking good and smelling good, all at once!",https://tide.com/en-us/shop/type/liquid/tide-oxi-with-odor-eliminators,https://images.ctfassets.net/ajjw8wywicb3/1ajWMUdFof6sqzZKZLu4hg/0313c175bb3afc116fffe04d58eaf836/Tide_UltraOXI_odor_elim_HDL_liquid_hero_DT_1364x1364.jpg?fm=webp
Tide Power PODS® Febreze Odor Eliminators + Sport Odor Defense,3.7,$10.99,Meijer,"Tackles sweat, grass, mud and more.",https://tide.com/en-us/shop/type/laundry-pods/tide-power-pods-febreze-sport-detergent,https://images.ctfassets.net/ajjw8wywicb3/2l7OrXvj9aDGKjmMkCxLoj/e1b3b3960a1605b7f49174bef58d2957/52339_TideBelize_Grogu_Sport_EN-US_hero_DT_1364x1364.jpg?fm=webp
Tide® Clean Boost™ Original,4.6,$11.77,Walmart,Removes 3X odor and residue*,https://tide.com/en-us/shop/type/fabric-rinse/tide-clean-boost-fabric-rinse-original-scent,https://images.ctfassets.net/ajjw8wywicb3/7KWjHrqD80GDTeUxt6rPsd/e1fd881564829f860a753f1cfa924138/Tide_Soarin_Original_hero_DT_1364x1364.jpg?fm=webp
Tide® Clean Boost™ Spring Meadow,4.6,$15.89,Walmart,Removes 3X odor and residue*,https://tide.com/en-us/shop/type/fabric-rinse/tide-clean-boost-fabric-rinse-spring-meadow-scent,https://images.ctfassets.net/ajjw8wywicb3/439dFjrjL2ierIENT8FR4h/8b9eb613a83ca27688fc902bc222fd7d/Tide_Soarin_SM_hero_DT_1364x1364.jpg?fm=webp
